Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2025M03;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2025M02;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2025M01;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M12;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M10;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M09;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M08;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M07;-0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M06;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M05;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M04;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M03;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M02;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2024M01;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M12;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M11;-0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M10;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M08;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M07;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M06;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M05;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M04;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M03;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M02;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2023M01;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M12;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M11;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M10;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M09;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M08;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M07;-0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M06;1,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M05;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M04;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M03;3,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M02;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2022M01;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M12;1,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M11;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M10;1,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M09;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M08;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M07;-0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M06;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M05;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M04;1,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M03;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M02;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M01;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M12;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M10;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M08;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M07;-0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M06;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M05;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M04;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M03;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M02;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M01;-1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M12;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M10;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M09;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M08;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M07;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M06;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M05;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M04;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M03;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M02;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M01;-1,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M12;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M11;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M10;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M08;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M07;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M06;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M05;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M04;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M03;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M02;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M01;-1,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M12;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M11;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M10;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M08;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M07;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M06;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M05;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M04;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M03;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M02;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M01;-0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M12;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M11;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M10;1,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M09;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M08;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M07;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M06;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M05;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M04;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M03;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M02;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M01;-1,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M12;-0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M11;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M10;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M09;-0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M08;-0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M07;-0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M06;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M05;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M04;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M03;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M02;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M01;-1,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M12;-0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M11;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M10;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M08;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M07;-0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M06;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M05;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M04;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M03;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M02;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M01;-1,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M12;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M11;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M10;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M09;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M08;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M07;-0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M06;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M05;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M04;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M03;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M02;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M01;-1,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M12;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M11;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M10;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M09;1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M08;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M07;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M06;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M05;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M04;1,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M03;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M02;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2012M01;-1,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M12;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M11;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M10;0,8
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M09;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M08;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M07;-0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M06;-0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M05;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M04;1,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M03;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M02;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2011M01;-0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M12;0,6
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M11;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M10;0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M09;0,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M08;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M07;-0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M06;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M05;0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M04;1,1
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M03;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M02;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M01;-1,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M12;0,0
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M11;0,5
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M10;0,7
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M09;-0,2
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M08;0,3
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M07;-0,9
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M06;0,4
Tipo de dato;Variación mensual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M05;0,0
